wak,syllables,flag,guess,a,b,c
ไว้เกียรติยศอย่าให้อายระคายเขิน,10,10 syllables — likely shatter/miscount,ไว้เกียรติยศอย่าให้อายระคายเขิน,,,
เอาความดีเข้าประจบพอกลบอาย,10,10 syllables — likely shatter/miscount,เอาความดีเข้าประจบพอกลบอาย,,,
เพราะพาซื่อถือตรงเหมือนวงศ์วาน,9,word straddles a beat boundary,เพราะพาซื่อ | ถือตรงเหมือน | วงศ์วาน,,,
แม่จะเบี่ยงบ่ายทูลมูลความ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แม่จะเบี่ยง | บ่ายทูล | มูลความ,,,
ทั้งนี้ตามแต่จะโปรดซึ่งโทษทัณฑ์,10,10 syllables — likely shatter/miscount,ทั้งนี้ตามแต่จะโปรดซึ่งโทษทัณฑ์,,,
พระชนนีให้หามาในวัง,9,word straddles a beat boundary,พระชนนี | ให้หา | มาในวัง,,,
จงบอกแม่จะได้แก้คดีแสดง,10,10 syllables — likely shatter/miscount,จงบอกแม่จะได้แก้คดีแสดง,,,
ฝ่ายโฉมยงองค์มังคลาราช,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ฝ่ายโฉมยง | องค์มัง | คลาราช,,,
ซึ่งโทษทัณฑ์หลาบเข็ดจงเมตตา,9,word straddles a beat boundary,ซึ่งโทษทัณฑ์ | หลาบเข็ด | จงเมตตา,,,
กลัวลูกสาวจะเป็นม่ายอายเขาจริง,10,10 syllables — likely shatter/miscount,กลัวลูกสาวจะเป็นม่ายอายเขาจริง,,,
ให้ตกแต่งปรางค์มาศราชวัง,7,"7 syllables — ambiguous, [3,2,2] is only a guess",ให้ตกแต่ง | ปรางค์มาศ | ราชวัง,,,
ตามเยี่ยงอย่างขัตติยามหากษัตริย์,10,10 syllables — likely shatter/miscount,ตามเยี่ยงอย่างขัตติยามหากษัตริย์,,,
แล้วตรัสสั่งให้มังคลาราช,7,"7 syllables — ambiguous, [3,2,2] is only a guess",แล้วตรัสสั่ง | ให้มัง | คลาราช,,,
ให้เยาวมาลย์นั่งหน้าพระสามี,9,word straddles a beat boundary,ให้เยาวมาลย์ | นั่งหน้า | พระสามี,,,
สวดภาษามลายูผู้วิเศษ,9,4-syllable word not at วรรค edge,สวดภาษามลายูผู้วิเศษ,,,
งานภิเษกครบเสร็จสำเร็จหวัง,9,word straddles a beat boundary,งานภิเษก | ครบเสร็จ | สำเร็จหวัง,,,
ทั้งศิษย์เป็นอุปราชว่าราชการ,10,10 syllables — likely shatter/miscount,ทั้งศิษย์เป็นอุปราชว่าราชการ,,,
ได้พร้อมเพรียงแล้วจะได้ไปลังกา,10,10 syllables — likely shatter/miscount,ได้พร้อมเพรียงแล้วจะได้ไปลังกา,,,
อ้ายพวกหมู่ประจามิตรที่ริษยา,10,10 syllables — likely shatter/miscount,อ้ายพวกหมู่ประจามิตรที่ริษยา,,,
แก้แค้นเคืองแล้วจะได้ไปลังกา,10,10 syllables — likely shatter/miscount,แก้แค้นเคืองแล้วจะได้ไปลังกา,,,
ไม่ปราดเปรื่องเหมือนแต่ก่อนต้องนอนโซ,10,10 syllables — likely shatter/miscount,ไม่ปราดเปรื่องเหมือนแต่ก่อนต้องนอนโซ,,,
จะกลับเพศขัตติยามหาศาล,10,10 syllables — likely shatter/miscount,จะกลับเพศขัตติยามหาศาล,,,
เอาเข็มตั้งวางทิศหรดี,8,word straddles a beat boundary,เอาเข็มตั้ง | วางทิศหรดี,,,
ขอพหลพลไกรกลับไปถิ่น,9,word straddles a beat boundary,ขอพหล | พลไกรกลับ | ไปถิ่น,,,
คอยโอกาสประวิงไว้ดั่งใจถวิล,11,11 syllables — likely shatter/miscount,คอยโอกาสประวิงไว้ดั่งใจถวิล,,,
ไม่ช้านานก็จะกลับมารับนาง,10,10 syllables — likely shatter/miscount,ไม่ช้านานก็จะกลับมารับนาง,,,
ฝ่ายตำมะหงงรับสั่งมาตั้งหมาย,10,10 syllables — likely shatter/miscount,ฝ่ายตำมะหงงรับสั่งมาตั้งหมาย,,,
ฝ่ายองค์พระมังคลากลับมาห้อง,9,word straddles a beat boundary,ฝ่ายองค์พระ | มังคลากลับ | มาห้อง,,,
พอเสร็จสรรพพี่จะกลับมาประคอง,10,10 syllables — likely shatter/miscount,พอเสร็จสรรพพี่จะกลับมาประคอง,,,
แม้นเสร็จสรรพพี่จะกลับมารับไป,10,10 syllables — likely shatter/miscount,แม้นเสร็จสรรพพี่จะกลับมารับไป,,,
อย่าห้ามปรามเลยจงโปรดที่โทษทัณฑ์,10,10 syllables — likely shatter/miscount,อย่าห้ามปรามเลยจงโปรดที่โทษทัณฑ์,,,
ทำแต่ลูกเล่นสบายเหมือนขายของ,10,10 syllables — likely shatter/miscount,ทำแต่ลูกเล่นสบายเหมือนขายของ,,,
บาทหลวงว่าท่ากระนั้นจะคอยท่า,10,10 syllables — likely shatter/miscount,บาทหลวงว่าท่ากระนั้นจะคอยท่า,,,
แต่จนใจกลัวอาจารย์จะพาลโกรธ,10,10 syllables — likely shatter/miscount,แต่จนใจกลัวอาจารย์จะพาลโกรธ,,,
มาอภิวาทจะลาไปจากไอศูรย์,10,10 syllables — likely shatter/miscount,มาอภิวาทจะลาไปจากไอศูรย์,,,
เจริญสุขทุกทิวาในสาชล,10,10 syllables — likely shatter/miscount,เจริญสุขทุกทิวาในสาชล,,,
ขอสมมาดเหมือนหนึ่งจิตคิดประสงค์,10,10 syllables — likely shatter/miscount,ขอสมมาดเหมือนหนึ่งจิตคิดประสงค์,,,
แล้วก้มเกล้าน้อมประณตบทบงสุ์,8,word straddles a beat boundary,แล้วก้มเกล้า | น้อมประณต | บทบงสุ์,,,
พอได้ยินเสียงพหลพลเแห่,8,word straddles a beat boundary,พอได้ยิน | เสียงพหล | พลแห่,,,
พระมังคลาท้าวเจ้าพิภพ,7,"7 syllables — ambiguous, [3,2,2] is only a guess",พระมังคลา | ท้าวเจ้า | พิภพ,,,
ท้าวรายากลับเข้าเขตประเทศถิ่น,10,10 syllables — likely shatter/miscount,ท้าวรายากลับเข้าเขตประเทศถิ่น,,,
บาทหลวงหยิบแผนที่มาคลี่อ่าน,9,word straddles a beat boundary,บาทหลวงหยิบ | แผนที่ | มาคลี่อ่าน,,,
ให้ตำมะหงงกำกับเป็นทัพหน้า,10,10 syllables — likely shatter/miscount,ให้ตำมะหงงกำกับเป็นทัพหน้า,,,
ชมละเมาะเกาะเกียนเหมือนเขียนวาด,9,word straddles a beat boundary,ชมละเมาะ | เกาะเกียนเหมือน | เขียนวาด,,,
ฝูงฉนากล้วนฉนากปากเหมือนเลื่อย,10,10 syllables — likely shatter/miscount,ฝูงฉนากล้วนฉนากปากเหมือนเลื่อย,,,
จะพรรณนาฝูงสัตว์แลมัจฉา,9,word straddles a beat boundary,จะพรรณนา | ฝูงสัตว์ | แลมัจฉา,,,
จึงปรึกษากับปลัดหัสเกน,8,word straddles a beat boundary,จึงปรึกษา | กับปลัด | หัสเกน,,,
ส่งให้เจ้าพนักงานด่านนคร,9,4-syllable word not at วรรค edge,ส่งให้เจ้าพนักงานด่านนคร,,,
