rhyme_class(sara|mat)	word	raw_sara	raw_mat	norm_class	old_sara	old_mat	old_differs	tags	source
ออ|กก	กรอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	กลอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	กอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ก๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	ครอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	คร๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	คลอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	คอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	คอกซ์	ออ	กก	-	ออ	กา	Y	karun	dict
ออ|กก	ค๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	งอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	จอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	จ้อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	จ๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	ฉอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ชอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ชอค	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	ชอล์ก	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	ชอล์ค	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	ช๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	ซอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ซอค	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	ซอร์ก	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	ดอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ตรอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ตอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ตอร์ค	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	ต๊อก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ถลอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ทอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ท๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	นอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	บอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	บ๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	บ๊อกซ์	ออ	กก	-	ออ	กา	Y	karun	dict
ออ|กก	ปลอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ปอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ป๊อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	พอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	พอร์ก	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	ฟล้อก	ออ	กก	-	ออ	กก	N	-	dict
ออ|กก	ฟอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ฟอกซ์	ออ	กก	-	ออ	กา	Y	karun	dict
ออ|กก	ยอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ยอร์ก	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	ยอร์ค	ออ	กก	-	ออ	กก	N	karun	dict
ออ|กก	รอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ลอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	วอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	ศอก	ออ	กก	-	ออ	กก	N	-	classical
ออ|กก	หงอก	ออ	กก	-	ออ	กก	N	-	classical
